id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
books/2025/feb/15/cancel-culture-we-should-stop-it-end-of-story-chimamanda-ngozi-adichie-on-backlash-writers-block-and-her-two-new-babies,article,books,Books,2025-02-15T07:00:31Z,"‘Cancel culture? We should stop it. End of story’: Chimamanda Ngozi Adichie on backlash, writer’s block – and her new baby twins",https://www.theguardian.com/books/2025/feb/15/cancel-culture-we-should-stop-it-end-of-story-chimamanda-ngozi-adichie-on-backlash-writers-block-and-her-two-new-babies,https://content.guardianapis.com/books/2025/feb/15/cancel-culture-we-should-stop-it-end-of-story-chimamanda-ngozi-adichie-on-backlash-writers-block-and-her-two-new-babies,False,pillar/arts,Arts
commentisfree/2025/mar/05/suella-braverman-englishness-race-issues-politics-britain-minorities,article,commentisfree,Opinion,2025-03-05T06:00:17Z,Dear Suella: I was born in London and raised in Oxfordshire. What do you reckon – can I be English? | Nels Abbey,https://www.theguardian.com/commentisfree/2025/mar/05/suella-braverman-englishness-race-issues-politics-britain-minorities,https://content.guardianapis.com/commentisfree/2025/mar/05/suella-braverman-englishness-race-issues-politics-britain-minorities,False,pillar/opinion,Opinion
science/2025/mar/18/martin-skirrow-obituary,article,science,Science,2025-03-18T17:00:50Z,Martin Skirrow obituary,https://www.theguardian.com/science/2025/mar/18/martin-skirrow-obituary,https://content.guardianapis.com/science/2025/mar/18/martin-skirrow-obituary,False,pillar/news,News
stage/2025/jan/07/wole-soyinka-death-and-the-kings-horseman-crucible-sheffield,article,stage,Stage,2025-01-07T13:09:29Z,Death and the King’s Horseman: the return of Wole Soyinka’s enduring mystery,https://www.theguardian.com/stage/2025/jan/07/wole-soyinka-death-and-the-kings-horseman-crucible-sheffield,https://content.guardianapis.com/stage/2025/jan/07/wole-soyinka-death-and-the-kings-horseman-crucible-sheffield,False,pillar/arts,Arts
us-news/2025/mar/10/first-thing-mark-carney-to-be-next-canada-pm,article,us-news,US news,2025-03-10T11:48:07Z,Mark Carney to be next Canada PM | First Thing,https://www.theguardian.com/us-news/2025/mar/10/first-thing-mark-carney-to-be-next-canada-pm,https://content.guardianapis.com/us-news/2025/mar/10/first-thing-mark-carney-to-be-next-canada-pm,False,pillar/news,News
tv-and-radio/2025/feb/03/boarders-series-two-review-the-lovable-teen-comedy-gets-even-more-impressive,article,tv-and-radio,Television & radio,2025-02-03T21:50:03Z,Boarders series two review – the lovable teen comedy gets even more impressive,https://www.theguardian.com/tv-and-radio/2025/feb/03/boarders-series-two-review-the-lovable-teen-comedy-gets-even-more-impressive,https://content.guardianapis.com/tv-and-radio/2025/feb/03/boarders-series-two-review-the-lovable-teen-comedy-gets-even-more-impressive,False,pillar/arts,Arts
world/2025/mar/05/brazil-harvard-african-rebels-skull-190-years,article,world,World news,2025-03-05T12:00:01Z,Brazil fights Harvard to reclaim African rebel’s skull after 190 years,https://www.theguardian.com/world/2025/mar/05/brazil-harvard-african-rebels-skull-190-years,https://content.guardianapis.com/world/2025/mar/05/brazil-harvard-african-rebels-skull-190-years,False,pillar/news,News
world/2025/feb/25/beatings-torture-and-electric-shocks-freed-scam-compound-workers-allege-horrific-abuse,article,world,World news,2025-02-25T03:45:20Z,"Beatings, torture and electric shocks: freed scam compound workers allege horrific abuse ",https://www.theguardian.com/world/2025/feb/25/beatings-torture-and-electric-shocks-freed-scam-compound-workers-allege-horrific-abuse,https://content.guardianapis.com/world/2025/feb/25/beatings-torture-and-electric-shocks-freed-scam-compound-workers-allege-horrific-abuse,False,pillar/news,News
us-news/2025/mar/17/hiv-aids-pepfar-christians-trump,article,us-news,US news,2025-03-17T10:00:23Z,US evangelical groups urge Trump to spare HIV/Aids program from aid cuts,https://www.theguardian.com/us-news/2025/mar/17/hiv-aids-pepfar-christians-trump,https://content.guardianapis.com/us-news/2025/mar/17/hiv-aids-pepfar-christians-trump,False,pillar/news,News
books/2025/feb/14/the-couples-who-found-love-in-bookshops-valentines-day,article,books,Books,2025-02-14T11:00:05Z,‘Let’s start a chapter of our own’: the couples who found love in bookshops,https://www.theguardian.com/books/2025/feb/14/the-couples-who-found-love-in-bookshops-valentines-day,https://content.guardianapis.com/books/2025/feb/14/the-couples-who-found-love-in-bookshops-valentines-day,False,pillar/arts,Arts
